x,y,cluster
34.009998,17.4,4
34.009998,17.4,4
37.23,1.26,1
14.05,28.950001,0
18.799999,24.280001,5
34.009998,17.4,4
34.009998,17.4,4
37.23,1.26,1
37.23,1.26,1
34.009998,17.4,4
34.009998,17.4,4
34.009998,17.4,4
18.799999,24.280001,5
34.009998,17.4,4
14.05,28.950001,0
34.009998,17.4,4
37.23,1.26,1
34.009998,17.4,4
34.009998,17.4,4
34.009998,17.4,4
34.009998,17.4,4
34.009998,17.4,4
14.05,28.950001,0
34.009998,17.4,4
34.009998,17.4,4
34.009998,17.4,4
37.23,1.26,1
34.009998,17.4,4
34.009998,14.6,4
34.009998,17.4,4
34.009998,17.4,4
34.009998,17.4,4
34.009998,17.4,4
34.009998,17.4,4
37.23,1.26,1
34.009998,17.4,4
34.009998,17.4,4
34.009998,17.4,4
34.009998,17.4,4
34.009998,17.4,4
34.009998,14.6,4
34.009998,17.4,4
34.009998,17.4,4
37.23,1.26,1
34.009998,17.4,4
34.009998,17.4,4
34.009998,14.6,4
34.009998,17.4,4
34.009998,17.4,4
34.009998,13.7,4
18.299999,17.4,5
34.009998,14.1,4
34.009998,17.4,4
37.23,1.26,1
34.009998,17.4,4
34.009998,17.4,4
34.009998,17.4,4
34.009998,17.4,4
14.05,28.950001,0
37.23,1.26,1
37.23,1.26,1
34.009998,17.4,4
37.23,1.26,1
37.23,1.26,1
34.009998,17.4,4
37.23,1.26,1
14.05,28.950001,0
37.23,1.26,1
34.009998,17.4,4
34.009998,17.4,4
34.009998,17.4,4
37.23,1.26,1
37.23,1.26,1
37.23,1.26,1
37.23,1.26,1
34.009998,17.4,4
37.23,-7.9,1
37.23,1.26,1
37.23,-7.5,1
34.009998,17.4,4
37.23,1.26,1
37.23,1.26,1
37.23,1.26,1
37.23,1.26,1
37.23,1.26,1
37.23,1.26,1
37.23,1.26,1
37.23,1.26,1
34.009998,17.4,4
34.009998,17.4,4
37.23,1.26,1
34.009998,17.4,4
37.23,-2.8,1
37.23,1.26,1
37.23,1.26,1
37.23,1.26,1
37.23,11.7,7
34.009998,17.4,4
37.23,1.26,1
37.23,1.26,1
37.23,1.26,1
37.23,11.7,7
37.23,-8.0,1
34.009998,17.4,4
34.009998,17.4,4
37.23,11.7,7
34.009998,17.4,4
34.009998,17.4,4
37.23,1.26,1
37.23,1.26,1
37.23,-8.0,1
37.23,1.26,1
37.23,1.26,1
37.23,1.26,1
37.23,11.7,7
34.009998,17.4,4
34.009998,17.4,4
37.23,1.26,1
37.23,1.26,1
37.23,1.26,1
37.23,1.26,1
37.23,1.26,1
37.23,4.5,1
37.23,1.26,1
37.23,-2.5,1
34.009998,17.4,4
34.009998,17.4,4
11.54,30.110001,0
27.15,9.81,2
19.700001,18.799999,5
11.54,30.110001,0
27.15,9.81,2
19.700001,18.799999,5
19.700001,18.799999,5
11.54,30.110001,0
27.15,9.81,2
19.700001,18.799999,5
19.700001,18.799999,5
11.54,30.110001,0
27.15,9.81,2
-12.9,18.799999,6
-5.4,31.450001,3
11.54,30.110001,0
11.54,30.110001,0
19.700001,18.799999,5
19.700001,18.799999,5
27.15,9.81,2
27.15,9.81,2
11.54,30.110001,0
27.15,9.81,2
11.54,30.110001,0
-12.9,18.799999,6
19.700001,24.799999,5
