x,y,cluster
11.54,30.110001,3
11.54,25.200001,3
2.2,31.9,3
27.15,9.81,0
19.700001,18.799999,0
27.15,9.81,0
11.54,32.599998,3
11.54,30.110001,3
27.15,9.81,0
11.54,29.200001,3
19.700001,18.799999,0
27.15,9.81,0
11.54,30.110001,3
19.700001,18.799999,0
11.54,32.599998,3
11.54,30.110001,3
11.54,30.110001,3
27.15,9.81,0
11.54,32.599998,3
11.54,30.110001,3
11.54,30.110001,3
11.54,30.110001,3
19.700001,18.799999,0
27.15,9.3,0
11.54,30.110001,3
27.15,9.81,0
11.54,30.110001,3
11.54,30.110001,3
11.54,30.110001,3
11.54,30.110001,3
11.54,30.110001,3
11.54,30.110001,3
27.15,9.81,0
19.700001,18.799999,0
-4.1,30.110001,1
11.54,30.110001,3
11.54,30.110001,3
11.54,30.110001,3
11.54,30.110001,3
11.54,30.110001,3
11.54,30.110001,3
27.15,9.81,0
11.54,30.110001,3
11.54,30.110001,3
11.54,30.110001,3
1.1,34.380001,1
11.54,30.110001,3
11.54,30.110001,3
11.54,30.110001,3
11.54,30.110001,3
11.54,30.110001,3
27.15,9.81,0
11.54,30.110001,3
27.15,9.81,0
11.54,30.110001,3
11.54,30.110001,3
11.54,30.110001,3
11.54,30.110001,3
11.54,30.110001,3
11.54,30.110001,3
11.54,30.110001,3
27.15,9.81,0
11.54,30.110001,3
11.54,30.110001,3
11.54,30.110001,3
19.700001,18.799999,0
11.54,30.110001,3
11.54,30.110001,3
11.54,30.110001,3
11.54,30.110001,3
27.15,9.81,0
11.54,30.110001,3
11.54,25.6,3
9.1,30.110001,3
11.54,30.110001,3
19.700001,18.799999,0
19.700001,18.799999,0
19.700001,18.799999,0
11.54,30.110001,3
27.15,9.81,0
11.54,30.110001,3
11.54,25.6,3
11.54,30.110001,3
9.1,30.110001,3
11.54,25.6,3
11.54,30.110001,3
27.15,9.81,0
27.15,9.81,0
27.15,9.81,0
19.700001,18.799999,0
11.54,25.6,3
11.54,25.6,3
-14.9,18.299999,1
11.54,25.6,3
11.54,30.110001,3
11.54,30.110001,3
27.15,9.81,0
11.54,25.6,3
11.54,30.110001,3
-14.9,18.299999,1
-14.9,18.299999,1
27.15,9.81,0
27.15,9.81,0
11.54,30.110001,3
27.15,9.81,0
11.54,25.6,3
11.54,30.110001,3
11.54,25.6,3
11.54,30.110001,3
11.54,25.6,3
-14.9,18.299999,1
11.54,30.110001,3
27.15,9.81,0
-14.9,18.299999,1
11.54,25.6,3
7.9,34.380001,3
11.54,25.6,3
11.54,25.6,3
-14.9,18.299999,1
11.54,25.6,3
-14.9,18.299999,1
11.54,30.110001,3
27.15,9.81,0
11.54,25.6,3
-2.8,31.450001,1
11.54,25.6,3
27.15,9.81,0
-16.0,18.299999,1
-14.9,18.299999,1
11.54,30.110001,3
11.54,30.110001,3
27.15,9.81,0
11.54,25.6,3
11.54,30.110001,3
-16.0,18.299999,1
-16.0,18.299999,1
27.15,9.81,0
11.54,30.110001,3
11.54,30.110001,3
27.15,9.81,0
27.15,9.81,0
-3.4,31.450001,1
27.15,9.81,0
29.1,9.81,0
11.54,30.110001,3
11.54,30.110001,3
-16.0,18.299999,1
11.54,25.6,3
11.54,30.110001,3
27.15,9.81,0
11.54,30.110001,3
11.54,30.110001,3
-3.4,31.450001,1
-3.4,31.450001,1
11.54,25.6,3
27.15,9.81,0
11.54,30.110001,3
27.15,9.81,0
11.54,30.110001,3
11.54,30.110001,3
-3.4,31.450001,1
-3.4,31.450001,1
27.15,9.81,0
27.15,9.81,0
11.54,30.110001,3
27.15,9.81,0
11.54,30.110001,3
11.54,30.110001,3
11.54,25.6,3
-3.4,31.450001,1
-3.4,31.450001,1
-3.4,31.450001,1
11.54,30.110001,3
27.15,9.81,0
-3.4,31.450001,1
11.54,25.6,3
11.54,30.110001,3
11.54,25.6,3
11.54,30.110001,3
27.15,9.81,0
11.54,30.110001,3
11.54,30.110001,3
11.54,30.110001,3
11.54,30.110001,3
11.54,30.110001,3
27.15,9.81,0
11.54,30.110001,3
11.54,30.110001,3
11.54,30.110001,3
11.54,30.110001,3
27.15,9.81,0
27.5,9.81,0
11.54,30.110001,3
11.54,30.110001,3
11.54,30.110001,3
27.15,9.81,0
11.54,30.110001,3
11.54,30.110001,3
11.54,30.110001,3
11.54,30.110001,3
27.15,9.81,0
27.15,9.81,0
11.54,30.110001,3
36.799999,8.01,2
34.48,2.95,2
15.28,25.940001,3
18.34,22.940001,3
16.440001,22.030001,3
36.799999,8.01,2
34.48,2.95,2
34.48,2.95,2
18.34,22.940001,3
18.34,22.940001,3
36.799999,8.01,2
36.799999,8.01,2
34.48,2.95,2
36.799999,8.01,2
34.48,2.95,2
36.799999,8.01,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
36.799999,8.01,2
36.799999,8.01,2
36.799999,8.01,2
34.48,2.95,2
36.799999,8.01,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
36.799999,8.01,2
34.48,2.95,2
36.799999,8.01,2
34.48,2.95,2
36.799999,8.01,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
36.799999,8.01,2
36.799999,8.01,2
34.48,2.95,2
34.48,2.95,2
36.799999,8.01,2
36.799999,8.01,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
36.799999,8.01,2
36.799999,8.01,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
36.799999,8.01,2
34.48,2.95,2
34.48,2.95,2
36.799999,8.01,2
34.48,2.95,2
36.799999,8.01,2
34.48,2.95,2
36.799999,8.01,2
34.48,2.95,2
34.48,5.4,2
36.799999,8.01,2
36.799999,8.01,2
36.799999,8.01,2
34.48,2.95,2
36.799999,8.01,2
36.799999,8.01,2
34.48,2.95,2
34.48,2.95,2
36.799999,8.01,2
36.799999,8.01,2
34.48,5.4,2
36.799999,8.01,2
36.799999,8.01,2
34.48,2.95,2
36.799999,8.01,2
36.799999,8.01,2
36.799999,9.1,2
36.799999,8.01,2
36.799999,8.01,2
36.799999,8.01,2
36.799999,8.01,2
34.48,2.95,2
34.48,2.95,2
36.799999,9.1,2
36.799999,8.01,2
36.799999,8.01,2
36.799999,8.01,2
36.799999,2.8,2
36.799999,8.01,2
36.799999,8.01,2
36.799999,8.01,2
34.48,2.95,2
36.799999,8.01,2
36.799999,8.01,2
36.799999,8.01,2
36.799999,8.01,2
36.799999,8.01,2
36.799999,8.01,2
34.48,2.95,2
36.799999,8.01,2
36.799999,8.01,2
36.799999,8.01,2
36.799999,8.01,2
36.799999,8.01,2
36.200001,8.01,2
36.799999,8.01,2
36.799999,8.01,2
34.48,2.95,2
36.799999,8.01,2
36.799999,8.01,2
36.799999,8.01,2
36.799999,8.01,2
36.799999,8.01,2
36.799999,8.01,2
36.799999,8.01,2
34.48,2.95,2
36.799999,8.01,2
36.799999,8.01,2
36.799999,8.01,2
36.799999,8.01,2
36.799999,8.01,2
36.799999,8.01,2
36.799999,8.01,2
36.799999,8.01,2
34.48,2.95,2
34.48,2.95,2
16.27,24.5,3
36.799999,8.01,2
36.799999,8.01,2
34.48,2.95,2
36.799999,8.01,2
36.799999,8.01,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
36.799999,8.01,2
36.799999,8.01,2
23.9,8.1,0
34.48,2.95,2
36.799999,8.01,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
36.799999,8.01,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
36.799999,8.01,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
36.799999,8.01,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
36.799999,8.01,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
16.27,14.8,0
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
36.799999,8.01,2
34.48,2.95,2
36.799999,8.01,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
36.799999,8.01,2
30.200001,8.01,0
34.48,2.95,2
36.799999,8.01,2
34.48,2.95,2
36.400002,2.95,2
34.48,2.95,2
36.799999,8.01,2
36.799999,8.01,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
36.799999,8.01,2
34.48,2.95,2
34.48,2.95,2
34.48,2.95,2
36.400002,2.95,2
36.400002,2.95,2
34.48,2.95,2
36.799999,8.01,2
36.799999,8.01,2
36.799999,8.01,2
34.48,2.95,2
36.400002,2.95,2
34.48,2.95,2
36.799999,8.01,2
34.48,2.95,2
26.200001,2.95,2
36.400002,2.95,2
36.400002,2.95,2
36.799999,8.01,2
34.48,2.95,2
34.48,2.95,2
36.400002,2.95,2
36.400002,2.95,2
36.799999,8.01,2
34.48,2.95,2
34.48,2.95,2
36.400002,2.95,2
36.799999,8.01,2
34.48,2.95,2
36.400002,2.95,2
36.400002,2.95,2
36.400002,2.95,2
36.799999,8.01,2
36.799999,8.01,2
34.48,2.95,2
36.400002,2.95,2
36.400002,2.95,2
36.799999,8.01,2
36.799999,8.01,2
36.400002,2.95,2
36.400002,2.95,2
36.799999,8.01,2
34.48,2.95,2
36.799999,8.01,2
36.799999,8.01,2
36.400002,2.95,2
36.400002,2.95,2
34.48,2.95,2
36.400002,2.95,2
34.48,2.95,2
36.799999,8.01,2
-9.16,24.08,1
-10.77,32.66,1
-8.38,26.75,1
-9.16,24.08,1
-10.77,32.66,1
-9.16,24.08,1
-8.38,29.5,1
-9.16,24.08,1
-9.16,24.08,1
-9.16,24.08,1
-9.16,24.08,1
-9.16,24.08,1
-10.77,32.66,1
-10.77,32.66,1
-9.16,24.08,1
-9.16,24.08,1
-9.16,24.08,1
