-33.700001;6.630000;5.570000,-5.730000;26.270000;4.140000,-18.580000;19.770000;2.240000,1,13
-27.700001;24.910000;4.510000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
-27.700001;-8.200000;4.510000,-5.730000;26.270000;4.140000,37.389999;2.720000;1.250000,1,13
12.000000;24.910000;4.510000,-39.540001;14.920000;2.890000,-18.580000;19.770000;2.240000,1,14
-27.700001;24.910000;4.510000,-5.730000;26.270000;4.140000,-30.900000;-8.070000;3.870000,1,13
27.299999;25.600000;4.510000,-5.730000;26.270000;1.440000,-18.580000;19.770000;2.240000,1,13
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
-27.700001;24.910000;4.510000,17.700001;26.270000;5.520000,37.389999;2.720000;1.250000,1,13
12.070000;34.900002;3.370000,-5.730000;26.270000;3.750000,-30.900000;-8.070000;3.870000,1,13
43.500000;24.910000;4.510000,-5.730000;26.270000;3.750000,37.389999;2.720000;1.250000,1,13
12.070000;34.900002;5.260000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,0,-1
27.299999;25.600000;4.510000,30.600000;14.920000;2.890000,-18.580000;19.770000;2.240000,1,14
12.000000;24.910000;3.170000,-5.730000;26.270000;1.440000,-18.580000;19.770000;2.240000,1,13
-27.700001;24.910000;4.510000,-17.900000;14.920000;5.270000,-30.900000;-8.070000;3.870000,0,-1
12.070000;33.700001;4.510000,-5.730000;26.270000;0.870000,-30.900000;-8.070000;3.870000,1,13
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
12.070000;40.900002;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,0,-1
12.070000;24.910000;3.300000,-5.730000;26.270000;0.870000,-30.900000;-8.070000;3.870000,1,13
12.070000;34.900002;2.920000,30.600000;14.920000;2.890000,-18.580000;19.770000;2.240000,1,14
27.299999;25.600000;2.520000,-5.730000;26.270000;1.190000,-30.900000;-8.070000;3.870000,1,13
43.500000;23.700001;4.510000,-5.730000;26.270000;3.750000,37.389999;2.720000;1.250000,1,13
-43.599998;22.299999;4.510000,-5.730000;26.270000;3.750000,37.389999;2.720000;1.250000,1,13
27.299999;25.600000;1.900000,30.600000;14.920000;2.890000,-18.580000;19.770000;2.240000,1,14
27.299999;25.600000;0.350000,30.600000;14.920000;2.890000,-18.580000;19.770000;2.240000,1,14
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
13.400000;22.299999;4.510000,30.600000;14.920000;2.890000,-18.580000;19.770000;2.240000,1,14
12.070000;34.900002;2.920000,-23.000000;26.270000;3.750000,37.389999;2.720000;1.250000,0,-1
-43.599998;10.700000;4.510000,-33.900002;26.270000;3.750000,37.389999;2.720000;1.250000,0,-1
-43.599998;22.299999;4.900000,-5.730000;26.270000;3.750000,37.389999;2.720000;1.250000,1,13
27.299999;25.600000;1.900000,-5.730000;26.270000;0.870000,-30.900000;-8.070000;3.870000,1,13
12.070000;24.910000;3.300000,30.600000;18.000000;2.890000,-18.580000;19.770000;2.240000,1,14
12.070000;24.910000;3.300000,-5.730000;26.270000;0.870000,-30.900000;-8.070000;3.870000,1,13
-33.700001;40.299999;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
-43.599998;22.299999;4.900000,-5.730000;26.270000;3.750000,37.389999;2.720000;1.250000,1,13
-43.599998;22.299999;1.530000,-32.200001;26.270000;3.750000,37.389999;2.720000;1.250000,0,-1
12.070000;25.400000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-43.599998;-5.700000;4.900000,-5.730000;26.270000;3.750000,37.389999;2.720000;1.250000,1,13
27.299999;25.600000;2.460000,-5.730000;38.700001;0.870000,-18.580000;19.770000;2.240000,1,14
13.400000;22.299999;4.510000,-17.400000;14.920000;2.890000,-30.900000;-8.070000;3.870000,1,12
12.070000;22.200001;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
12.070000;26.799999;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
12.070000;22.200001;5.080000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;4.510000,-39.540001;18.500000;2.890000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
20.799999;25.400000;3.310000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
9.200000;22.200001;4.510000,-39.540001;14.920000;0.530000,37.389999;2.720000;1.250000,1,12
12.070000;22.200001;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
12.070000;25.400000;4.510000,-39.540001;20.100000;2.890000,37.389999;2.720000;1.250000,1,12
12.070000;24.910000;4.510000,-39.540001;14.920000;2.890000,37.389999;2.720000;1.250000,1,12
-33.700001;6.630000;0.550000,-5.730000;26.270000;5.520000,-30.900000;-8.070000;3.870000,1,13
12.070000;24.910000;4.510000,-41.200001;14.920000;1.400000,37.389999;2.720000;1.250000,1,12
